"Site.Name","Date","COUNTY","meanlat","meanlong","year","month","PM2.5","Ozone"
"Bryson City",2020-11-21,"Swain",35.434767,-83.442133,2020,11,28,NA
"Bryson City",2020-11-22,"Swain",35.434767,-83.442133,2020,11,47,NA
"Bryson City",2020-11-23,"Swain",35.434767,-83.442133,2020,11,40.5,NA
"Bryson City",2020-11-24,"Swain",35.434767,-83.442133,2020,11,16.5,NA
"Bryson City",2020-11-25,"Swain",35.434767,-83.442133,2020,11,24,NA
"Bryson City",2020-11-26,"Swain",35.434767,-83.442133,2020,11,29,NA
"Bryson City",2020-11-27,"Swain",35.434767,-83.442133,2020,11,23.5,NA
"Bryson City",2020-11-28,"Swain",35.434767,-83.442133,2020,11,16,NA
"Bryson City",2020-11-29,"Swain",35.434767,-83.442133,2020,11,38,NA
"Bryson City",2020-11-30,"Swain",35.434767,-83.442133,2020,11,39.5,NA
"Bryson City",2020-12-01,"Swain",35.434767,-83.442133,2020,12,22,NA
"Bryson City",2020-12-02,"Swain",35.434767,-83.442133,2020,12,15.5,NA
"Bryson City",2020-12-03,"Swain",35.434767,-83.442133,2020,12,16.5,NA
"Bryson City",2020-12-04,"Swain",35.434767,-83.442133,2020,12,16.5,NA
